ForecastedDate,forecast,upper,lower
2026-04-01,3136763.7354168617,5081962.632134344,1114495.2755937239
2026-04-02,2477701.5550381197,4395459.272447317,581049.2387878427
2026-04-03,2679178.420268186,4529646.5400237655,891992.7867193371
2026-04-04,1969566.9362623033,3785694.5719744465,89283.87456664062
2026-04-05,1698750.7018938987,3650100.584992401,-58885.39369528865
2026-04-06,2146062.668956535,3997508.2636952633,208349.5753939946
2026-04-07,2037924.803516172,3951682.494711893,120821.84223265125
2026-04-08,1827270.0980753137,3793967.057644226,-66225.80807831204
2026-04-09,1234242.59415672,3031879.078504579,-672055.7562866706
2026-04-10,1511242.2085483912,3250123.9567405363,-459062.65036257205
2026-04-11,885238.8038861371,2788077.184799172,-1012778.6047304283
2026-04-12,704622.8636688249,2790799.3420207757,-1198228.5616985324
2026-04-13,1247174.5136391588,3197446.931274921,-446402.5871891826
2026-04-14,1237734.0138661277,3143090.726773788,-758302.5477986538
2026-04-15,1127654.120468831,3069070.8101827917,-752432.1330459048
2026-04-16,635529.3608604162,2489056.432622927,-1106019.3927205133
2026-04-17,1012268.4464893128,2998414.316010513,-882028.7212137108
2026-04-18,483433.75228369044,2343153.3112273607,-1395124.6931259837
2026-04-19,396114.7783467583,2323510.1270434363,-1455644.097317928
2026-04-20,1026916.9658250887,2936108.0404959596,-934448.2856258156
2026-04-21,1099648.7008176395,3147501.4234164585,-666199.8857809514
2026-04-22,1064786.697829571,2945636.9449006314,-932950.0299986964
2026-04-23,640214.6831651325,2606221.767257906,-1259720.3840920753
2026-04-24,1076301.561841041,3064516.644499664,-991619.7808375213
2026-04-25,598243.0371437976,2391718.7976588286,-1372786.775970328
2026-04-26,552933.7139556091,2518873.9992843503,-1274338.8006699318
2026-04-27,1216951.2428612828,3213833.9285936137,-685555.3791959146
2026-04-28,1314235.5861439272,3287702.415727625,-473386.7269570748
2026-04-29,1295543.897825788,3230144.969984792,-722208.519832651
2026-04-30,879176.283033366,2720291.300230742,-1026750.1514337666
